Model,Year,Price,Additions,Previous Owners,Offered,Payment Method,Number of Passengers,Car Mileage,Engine Power,Glass,Transmission Type,Car License,Car Origin,Fuel Type,Car Color,Third Party,Comprehensive (Vehicle Body),Total Insurance
فولكسفاجن باسات,2018,150000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",1,للبيع أو التبديل,إمكانية التقسيط,4+1,133400,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أبيض,1340,2626,3966
كيا فورتي,2011,45000,"مُكيّف, إغلاق مركزي, مسجل CD, وسادة حماية هوائية",,للبيع فقط,إمكانية التقسيط,,,1600,الكتروني,اوتوماتيك,فلسطينية,تأجير,بنزين,أبيض عاجي,1340,1000,2340
اوبل استرا,2000,15000,"مسجل CD, جنطات مغنيسيوم",5,للبيع فقط,نقدا فقط,5+1,,1600,الكتروني,عادي,فلسطينية,خصوصي,بنزين,سكني,670,500,1170
سكودا اوكتافيا,2014,71000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",يد اولى,للبيع فقط,نقدا فقط,4+1,177000,1600,الكتروني,عادي,فلسطينية,خصوصي,ديزل,أبيض عاجي,1340,1243,2583
كيا سورينتو,2018,155000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",0,للبيع أو التبديل,نقدا فقط,4+1,,2200,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,رمادي,1690,2713,4403
كيا ريو,2019,77000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, وسادة حماية هوائية",1,للبيع أو التبديل,إمكانية التقسيط,4+1,32000,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,فيراني,1035,1348,2383
سكودا اوكتافيا,2008,48000,"مُكيّف, إغلاق مركزي, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",3,للبيع أو التبديل,نقدا فقط,3+1,264000,1900,الكتروني,عادي,فلسطينية,خصوصي,ديزل,كحلي,1340,1000,2340
فولكسفاجن بولو,2019,86000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",اولى,للبيع فقط,نقدا فقط,4+1,81000,1000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض,935,1506,2440
ستروين  C4,2016,63000,"مُكيّف, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",2,للبيع فقط,نقدا فقط,3+1,,1600,يدوي,اوتوماتيك,فلسطينية,خصوصي,ديزل,أسود,1340,1103,2443
فولكسفاجن تيجوان,2019,175000,"مُكيّف, إغلاق مركزي, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",0,للبيع فقط,نقدا فقط,4+1,17500,2000,الكتروني,عادي,فلسطينية,خصوصي,بنزين,فضي,1340,3063,4403
اوبل استرا,2014,50000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد",يد ثالثة,للبيع فقط,إمكانية التقسيط,4+1,,1400,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أبيض,1035,1000,2035
بي ام دبليو 316,1989,20000,"مُكيّف, إغلاق مركزي, جهاز إنذار, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",,للبيع أو التبديل,إمكانية التقسيط,4+1,,1600,يدوي,عادي,فلسطينية,خصوصي,بنزين,أسود,670,500,1170
كيا سبورتاج,2019,114900,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",0,للبيع أو التبديل,إمكانية التقسيط,4+1,24000,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أسود ميتالك,1340,2011,3351
كيا سورينتو,2019,165000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد أولى,للبيع أو التبديل,إمكانية التقسيط,6+1,50000,2200,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أسود ميتالك,1690,2888,4578
هونداي جيتس,2003,26000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فرش جلد, وسادة حماية هوائية",,للبيع فقط,نقدا فقط,4+1,,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض عاجي,1035,1000,2035
فولكسفاجن كادي,2017,113000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",1,للبيع أو التبديل,إمكانية التقسيط,6+1,140000,2000,الكتروني,عادي,فلسطينية,خصوصي,ديزل,بنفسجي,1340,1978,3318
هونداي كونا,2019,115000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",,للبيع فقط,نقدا فقط,4+1,27000,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض,1340,2013,3353
كيا بيكانتو,2019,58000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",0,للبيع أو التبديل,نقدا فقط,4+1,40,1000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,بيج,935,1016,1950
كيا سبورتاج,2016,100000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",,للبيع فقط,نقدا فقط,4+1,57000,1700,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أسود,1340,1751,3090
كيا ستونك,2018,88000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فرش جلد, وسادة حماية هوائية",مستورده,للبيع فقط,نقدا فقط,4+1,70000,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,بترولي,1035,1541,2575
لاندروفر ديفندر,2008,95000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فرش جلد, وسادة حماية هوائية",١,للبيع فقط,نقدا فقط,4+1,700000,2500,يدوي,عادي,فلسطينية,حكومي,ديزل,أبيض,1690,1663,3353
كيا ريو,2016,62000,"مُكيّف, مسجل CD",0,للبيع فقط,نقدا فقط,4+1,42000,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,فضي,1035,1085,2120
كيا اوبتيما,2018,12345,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد اولى,للبيع فقط,نقدا فقط,,74000,1700,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أسود,1340,1000,2340
سكودا سوبيرب,2017,128000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",1,للبيع فقط,نقدا فقط,4+1,76000,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,كحلي,1340,2240,3580
بيجو 205,1988,12000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم",,للبيع أو التبديل,إمكانية التقسيط,4+1,00000000,1400,الكتروني,عادي,فلسطينية,خصوصي,بنزين,رمادي,517,500,1017
مرسيدس 190,1987,23000,"مسجل CD, فتحة سقف, جنطات مغنيسيوم",,للبيع فقط,إمكانية التقسيط,,,2300,الكتروني,اوتوماتيك,فلسطينية,عمومي,بنزين,أبيض,845,500,1345
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
شفروليه كابتيفا,2009,58000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",1,للبيع أو التبديل,إمكانية التقسيط,6+1,,3200,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,فضي,1690,1016,2705
فولكسفاجن ترانسبورتر,1997,20000,"مسجل CD, جنطات مغنيسيوم",,للبيع أو التبديل,إمكانية التقسيط,7+1,00000000,2400,الكتروني,عادي,فلسطينية,عمومي,ديزل,رمادي,845,500,1345
هونداي سانتافيه,2019,136000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",صفر,للبيع أو التبديل,نقدا فقط,6+1,49000,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أبيض,1340,2380,3720
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
هونداي الانترا,2017,60000,"مُكيّف, إغلاق مركزي, جهاز إنذار, جنطات مغنيسيوم, فرش جلد",2,للبيع أو التبديل,نقدا فقط,4+1,75000,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,فيراني,1340,1050,2390
هونداي اكسنت,2016,54500,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",1,للبيع فقط,نقدا فقط,4+1,180000,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,فضي,1035,1000,2035
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
سكودا فابيا,2010,39000,"مُكيّف, مسجل CD",يد ثالثة,للبيع فقط,نقدا فقط,4+1,,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أخضر,1340,1000,2340
جي ام سي  سفانا,2007,69000,"مُكيّف, إغلاق مركزي, مسجل CD, وسادة حماية هوائية",يد اوله,للبيع فقط,نقدا فقط,7+1,270000,6600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أبيض عاجي,1690,1208,2898
مرسيدس 250,2018,285000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",اولى,للبيع فقط,إمكانية التقسيط,4+1,40000,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض,1340,4988,6328
سيت ليون,2017,113000,"مُكيّف, إغلاق مركزي, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",1,للبيع فقط,إمكانية التقسيط,4+1,63000,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أسود ميتالك,1035,1978,3013
هونداي توسان,2014,89000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد ثانيه,للبيع فقط,نقدا فقط,4+1,,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أبيض,1340,1558,2898
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
سيت ليون,2018,78000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",,للبيع أو التبديل,نقدا فقط,4+1,94000,1200,الكتروني,عادي,فلسطينية,خصوصي,بنزين,سكني,1035,1366,2400
هونداي اكسنت,2014,56000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد اولى,للبيع فقط,نقدا فقط,,58,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,فضي,1035,1000,2035
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
فورد فيستا,2015,36000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",2,للبيع أو التبديل,نقدا فقط,4+1,175000,1600,الكتروني,اوتوماتيك,فلسطينية,تأجير,بنزين,أبيض,1340,1000,2340
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
اوبل استرا,2014,41999,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",,للبيع أو التبديل,إمكانية التقسيط,4+1,,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض,1340,1000,2340
هونداي كونا,2019,95000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",0,للبيع فقط,نقدا فقط,4+1,110000,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض,1340,1663,3003
كيا اوبتيما,2018,123000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",مش منمر,للبيع فقط,نقدا فقط,4+1,60000,1700,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,بترولي,1340,2153,3493
فولكسفاجن أماروك,2015,180000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",0,للبيع أو التبديل,إمكانية التقسيط,4+1,,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أبيض عاجي,1340,3151,4490
كيا برايد,2015,48000,"مُكيّف, فتحة سقف, جنطات مغنيسيوم, فرش جلد",,للبيع فقط,نقدا فقط,4+1,180000,1400,الكتروني,عادي,فلسطينية,خصوصي,ديزل,أبيض عاجي,1035,1000,2035
فولكسفاجن كادي,2015,90000,"مُكيّف, إغلاق مركزي, جهاز إنذار, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",3,للبيع فقط,نقدا فقط,6+1,1000000,1600,الكتروني,عادي,فلسطينية,خصوصي,ديزل,فضي,1340,1576,2915
فولكسفاجن باسات,2011,75000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",٦,للبيع أو التبديل,نقدا فقط,4+1,133000,1800,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,رمادي,1340,1313,2653
اوبل زافيرا,2003,22000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",,للبيع أو التبديل,إمكانية التقسيط,6+1,,1900,الكتروني,عادي,فلسطينية,خصوصي,ديزل,أسود,1340,1000,2340
سكودا اوكتافيا,2011,70000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",يد اولى,للبيع أو التبديل,إمكانية التقسيط,4+1,140000,1900,الكتروني,عادي,فلسطينية,خصوصي,ديزل,خمري,1340,1226,2565
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
كيا برايد,2013,47000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",3,للبيع فقط,نقدا فقط,4+1,110000,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أزرق,1035,1000,2035
فولكسفاجن جولف,2006,48000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, وسادة حماية هوائية",,للبيع فقط,نقدا فقط,4+1,,1600,الكتروني,عادي,فلسطينية,خصوصي,بنزين,بترولي,1340,1000,2340
بيجو بارتنر,2018,95000,"مُكيّف, وسادة حماية هوائية",0,للبيع فقط,نقدا فقط,6+1,53000,1600,الكتروني,عادي,فلسطينية,خصوصي,ديزل,رمادي,1340,1663,3003
ميتسوبيشي اتراج,2015,46000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, وسادة حماية هوائية",يد صفر,للبيع فقط,نقدا فقط,4+1,74000,1200,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض عاجي,1035,1000,2035
هونداي فيرنا,2003,28000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",,للبيع فقط,إمكانية التقسيط,,,1500,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,ذهبي,1035,1000,2035
سيت ليون,2018,135000,"مُكيّف, إغلاق مركزي, جهاز إنذار, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",0,للبيع فقط,نقدا فقط,4+1,50000,180,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أسود ميتالك,935,2363,3298
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
هونداي سانتافيه,2018,144000,,يد صفر,للبيع أو التبديل,نقدا فقط,6+1,70000,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,فيراني,1340,2521,3861
اودي A3,2000,3600,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, وسادة حماية هوائية",,للبيع أو التبديل,إمكانية التقسيط,4+1,200,1800,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,كحلي,670,500,1170
هونداي كليك,2006,33000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",,للبيع أو التبديل,نقدا فقط,4+1,180,1600,الكتروني,عادي,فلسطينية,خصوصي,بنزين,سكني,1340,1000,2340
هونداي توسان,2018,140000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, وسادة حماية هوائية",2,للبيع أو التبديل,نقدا فقط,4+1,39600,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,ذهبي,1340,2451,3791
هونداي كونا,2020,112000,"مُكيّف, إغلاق مركزي, جهاز إنذار, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",صفر,للبيع أو التبديل,إمكانية التقسيط,4+1,25000,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,رمادي,1340,1961,3300
فولكسفاجن باسات,2006,57000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, وسادة حماية هوائية",00,للبيع أو التبديل,إمكانية التقسيط,4+1,000,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,فيراني,1340,1000,2340
مرسيدس فيتو,2006,45000,"مُكيّف, جنطات مغنيسيوم, فرش جلد",يد أولى,للبيع فقط,إمكانية التقسيط,7+1,,2000,الكتروني,عادي,فلسطينية,عمومي,ديزل,أبيض,1340,1000,2340
سكودا اوكتافيا,2010,45000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",5,للبيع فقط,نقدا فقط,4+1,1000,1900,الكتروني,عادي,فلسطينية,عمومي,ديزل,أبيض,1340,1000,2340
ستروين C3,2017,46000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",,للبيع أو التبديل,إمكانية التقسيط,4+1,220,1600,الكتروني,عادي,فلسطينية,عمومي,ديزل,أحمر,1340,1000,2340
هونداي فيلوستر,2012,47999,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",,للبيع فقط,نقدا فقط,4+1,,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض,1340,1000,2340
شفروليه كابتيفا,2011,60000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",٢,للبيع أو التبديل,إمكانية التقسيط,6+1,20000,3200,الكتروني,اوتوماتيك,فلسطينية,حكومي,بنزين,أسود,1690,1050,2740
سكودا يتي,2011,80000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد اولى,للبيع فقط,إمكانية التقسيط,4+1,,2000,الكتروني,عادي,فلسطينية,خصوصي,ديزل,فضي,1340,1401,2740
ستروين بيكاسو C4,2009,41000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, وسادة حماية هوائية",3,للبيع أو التبديل,نقدا فقط,6+1,200000,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,فضي,1340,1000,2340
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
هونداي سانتافيه,2019,138000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد صفر,للبيع فقط,نقدا فقط,6+1,61000,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أسود ميتالك,1340,2416,3756
فيات اونو,1987,11000,مسجل CD,9,للبيع أو التبديل,نقدا فقط,4+1,0000,1000,يدوي,عادي,فلسطينية,خصوصي,بنزين,أزرق,467,500,967
هونداي توسان,2018,116000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",1,للبيع فقط,نقدا فقط,4+1,55,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,فضي,1340,2031,3370
جاجوار XE,2016,160000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد ثانية,للبيع فقط,نقدا فقط,4+1,58000,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,خمري,1340,2801,4140
هونداي ايونيك,2019,105000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, وسادة حماية هوائية",يد اولى,للبيع فقط,نقدا فقط,4+1,30000,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,هايبرد,أحمر,1340,1838,3178
فولكسفاجن باسات,1999,22000,,4,للبيع فقط,نقدا فقط,4+1,226,1800,الكتروني,عادي,فلسطينية,خصوصي,بنزين,زيتي,670,500,1170
كيا بيكانتو,2016,44000,"مُكيّف, إغلاق مركزي, جنطات مغنيسيوم, وسادة حماية هوائية",1,للبيع فقط,إمكانية التقسيط,4+1,44000,1250,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,كحلي,1035,1000,2035
بي ام دبليو ٢٠١٢,2012,125000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",3,للتبديل فقط,نقدا فقط,4+1,190,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,بترولي,1340,2188,3528
هونداي فيرنا,2008,40000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد ثالثة,للبيع فقط,نقدا فقط,4+1,85000,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,فضي,1035,1000,2035
فولكسفاجن جيتا,2015,78000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, وسادة حماية هوائية",1,للبيع أو التبديل,إمكانية التقسيط,4+1,100,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,فيراني,1035,1366,2400
سكودا فابيا,2009,37000,مُكيّف,,للبيع فقط,نقدا فقط,4+1,000,1400,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أزرق سماوي,1035,1000,2035
فولكسفاجن جولف,2012,69000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",5,للبيع فقط,نقدا فقط,4+1,188,1400,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أحمر,1035,1208,2243
فولكسفاجن طوارق,2016,270000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",2,للبيع أو التبديل,إمكانية التقسيط,4+1,80000,3000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أبيض,1690,4725,6415
فورد فوكس,2014,47000,,يد أولى,للبيع أو التبديل,نقدا فقط,4+1,,1595,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض,1340,1000,2340
فولكسفاجن بولو,2017,63000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",,للبيع فقط,نقدا فقط,4+1,115000,1200,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أبيض,1035,1103,2138
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
اوبل زافيرا,2004,26000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",يد أولى,للبيع أو التبديل,إمكانية التقسيط,6+1,,2000,الكتروني,عادي,فلسطينية,خصوصي,ديزل,رمادي,1340,1000,2340
فولكسفاجن بولو,2014,65000,"مُكيّف, إغلاق مركزي, فتحة سقف, جنطات مغنيسيوم, وسادة حماية هوائية",يدأولى,للبيع فقط,نقدا فقط,4+1,64000,1400,الكتروني,عادي,فلسطينية,خصوصي,بنزين,فضي,1035,1138,2173
فورد فوكس,2012,43000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",4,للبيع فقط,نقدا فقط,4+1,188000,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض,1340,1000,2340
هونداي اكسنت,2019,75999,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد ثانيه,للبيع فقط,نقدا فقط,4+1,70000,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض عاجي,1035,1330,2365
مرسيدس E200,2012,110000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",3,للبيع فقط,نقدا فقط,4+1,,1800,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,رمادي,1340,1926,3265
دايو لانوس,2000,22000,"مُكيّف, مسجل CD, جنطات مغنيسيوم",,للبيع أو التبديل,نقدا فقط,,000000,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,سكني,670,500,1170
فولكسفاجن GTI,2014,120000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, وسادة حماية هوائية",,للبيع أو التبديل,نقدا فقط,4+1,108000,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,بترولي,1340,2100,3440
أفيكو 65C18,2004,38000,,,للبيع فقط,نقدا فقط,6+1,,2400,الكتروني,عادي,فلسطينية,تجاري,ديزل,أبيض,1690,1000,2690
بيجو 206,2006,22000,,,للبيع فقط,نقدا فقط,4+1,,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أزرق سماوي,1035,1000,2035
مرسيدس E250,1999,32000,"مُكيّف, إغلاق مركزي, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد ٧,للبيع أو التبديل,إمكانية التقسيط,4+1,123456,2500,الكتروني,اوتوماتيك,فلسطينية,عمومي,ديزل,سكني,845,500,1345
